@relation cardss_buy_balanced

@attribute gender {female,male}
@attribute age {20-23,24-26,27-30,31-40,41-50,51-60,'60+'}
@attribute children {0,1,2,3,'3+'}
@attribute education {bachelor,below_m3,m3,m6,master,phd,vocational}
@attribute occupation {business_owner,freelance,government,private,soe,student,trader}
@attribute family_size {1-2,3-4,'5+'}
@attribute housing_type {condo,house,townhome}
@attribute housing_status {family,own,rent}
@attribute parking {common,none,private}
@attribute income {15001-25000,25001-35000,35001-50000,50001-75000,'75000+',lt15000}
@attribute budget {1200001-1500000,'1500000+',500001-800000,800001-1200000,lt500000}
@attribute concern {battery_life,charging_station,electricity_cost,fuel_price,maintenance,resale_value,service_center}
@attribute purpose {avoid_public,commute,convenience,trade,travel}
@attribute purpose_housing {'avoid_public|family','avoid_public|own','avoid_public|rent','commute|family','commute|own','commute|rent','convenience|family','convenience|own','convenience|rent','trade|family','trade|own','trade|rent','travel|family','travel|own','travel|rent'}
@attribute charging_access {cannot,has,installable,unsure}
@attribute tco_awareness {much_cheaper,similar,slightly_cheaper,unknown}
@attribute incentive_awareness {aware_considered,aware_only,unknown}
@attribute income_budget_gap numeric
@attribute financial_readiness_gap numeric
@attribute intention numeric
@attribute attitude numeric
@attribute subjective_norm numeric
@attribute pbc_financial numeric
@attribute evt_job numeric
@attribute evt_move numeric
@attribute evt_child numeric
@attribute evt_income numeric
@attribute class {buy,not_buy}

@data
male,20-23,2,bachelor,student,3-4,townhome,own,none,15001-25000,lt500000,charging_station,travel,'travel|own',unsure,much_cheaper,unknown,-0.2,-0.866667,5,6,3,6,1,0,0,0,not_buy
female,31-40,2,vocational,business_owner,3-4,house,own,common,15001-25000,800001-1200000,maintenance,commute,'commute|own',cannot,similar,unknown,0.3,-0.0333333,5,4,5,5,0,0,1,0,not_buy
male,31-40,2,bachelor,soe,3-4,townhome,own,common,25001-35000,'1500000+',service_center,travel,'travel|own',cannot,much_cheaper,aware_only,0.6,0.266667,5,5,5,5,0,0,0,0,not_buy
female,31-40,2,bachelor,private,3-4,condo,own,common,35001-50000,1200001-1500000,service_center,convenience,'convenience|own',installable,similar,aware_considered,0.15,-0.516667,5,4,3,6,1,1,0,0,not_buy
female,41-50,2,phd,freelance,3-4,townhome,own,common,15001-25000,'1500000+',service_center,travel,'travel|own',unsure,unknown,aware_only,0.8,1.13333,6,4,4,3,1,0,1,0,not_buy
male,27-30,2,master,private,3-4,townhome,own,private,15001-25000,500001-800000,fuel_price,commute,'commute|own',installable,much_cheaper,unknown,0.05,-0.616667,6,5,3,6,1,1,0,0,not_buy
female,51-60,2,bachelor,business_owner,3-4,townhome,own,common,35001-50000,800001-1200000,fuel_price,convenience,'convenience|own',installable,similar,unknown,-0.1,-0.433333,4,4,6,5,1,0,0,0,not_buy
male,24-26,0,bachelor,private,3-4,condo,own,private,35001-50000,800001-1200000,battery_life,travel,'travel|own',installable,similar,unknown,-0.1,-1.1,5,6,4,7,1,0,0,0,not_buy
male,24-26,2,bachelor,private,3-4,house,own,common,25001-35000,500001-800000,fuel_price,convenience,'convenience|own',installable,much_cheaper,unknown,-0.15,-0.483333,5,5,4,5,1,0,0,0,not_buy
male,27-30,1,phd,private,3-4,house,own,none,35001-50000,800001-1200000,resale_value,trade,'trade|own',cannot,much_cheaper,unknown,-0.1,0.233333,4,5,5,3,1,0,1,0,not_buy
female,41-50,1,bachelor,soe,'5+',house,own,common,15001-25000,800001-1200000,service_center,travel,'travel|own',installable,much_cheaper,aware_only,0.3,0.3,5,4,5,4,1,0,0,0,not_buy
male,51-60,'3+',bachelor,business_owner,'5+',condo,rent,private,35001-50000,'1500000+',fuel_price,convenience,'convenience|rent',installable,similar,unknown,0.4,0.4,6,5,5,4,0,0,1,0,not_buy
male,24-26,1,master,student,3-4,condo,rent,common,15001-25000,500001-800000,service_center,convenience,'convenience|rent',installable,similar,unknown,0.05,0.05,5,3,3,4,1,0,0,0,buy
female,31-40,2,master,private,'5+',house,rent,common,25001-35000,lt500000,service_center,travel,'travel|rent',installable,unknown,unknown,-0.4,-0.733333,6,5,3,5,1,0,0,0,not_buy
male,24-26,1,bachelor,private,3-4,townhome,family,private,15001-25000,800001-1200000,service_center,avoid_public,'avoid_public|family',cannot,similar,unknown,0.3,0.966667,3,6,6,2,1,0,0,0,not_buy
male,51-60,'3+',master,trader,'5+',condo,rent,private,15001-25000,lt500000,service_center,convenience,'convenience|rent',installable,similar,unknown,-0.2,-0.533333,4,5,5,5,1,0,0,0,not_buy
male,31-40,1,bachelor,soe,3-4,townhome,family,common,lt15000,800001-1200000,service_center,convenience,'convenience|family',installable,similar,unknown,0.5,0.5,6,5,4,4,0,0,1,0,not_buy
female,31-40,2,bachelor,private,3-4,townhome,family,common,15001-25000,500001-800000,fuel_price,convenience,'convenience|family',installable,much_cheaper,aware_only,0.05,0.383333,5,6,3,3,1,0,0,0,not_buy
female,31-40,1,bachelor,private,3-4,condo,family,private,25001-35000,500001-800000,fuel_price,travel,'travel|family',installable,unknown,aware_only,-0.15,-0.483333,6,4,5,5,0,1,0,0,not_buy
male,41-50,2,bachelor,government,'5+',townhome,rent,common,15001-25000,lt500000,service_center,convenience,'convenience|rent',installable,similar,unknown,-0.2,-0.866667,3,5,4,6,0,1,0,0,not_buy
male,24-26,'3+',bachelor,private,3-4,townhome,family,private,25001-35000,1200001-1500000,service_center,convenience,'convenience|family',unsure,similar,unknown,0.35,0.0166667,3,4,5,5,0,0,0,1,not_buy
female,31-40,2,bachelor,freelance,'5+',townhome,own,common,35001-50000,800001-1200000,service_center,travel,'travel|own',cannot,similar,unknown,-0.1,-0.433333,6,5,4,5,1,0,1,0,not_buy
female,51-60,2,below_m3,business_owner,3-4,townhome,own,common,15001-25000,1200001-1500000,charging_station,commute,'commute|own',installable,similar,unknown,0.55,0.883333,4,4,3,3,1,0,0,0,not_buy
female,31-40,2,m6,trader,3-4,townhome,own,private,35001-50000,800001-1200000,service_center,convenience,'convenience|own',installable,similar,unknown,-0.1,-0.766667,4,4,5,6,1,0,0,0,not_buy
male,31-40,0,master,business_owner,'5+',condo,rent,private,35001-50000,1200001-1500000,battery_life,convenience,'convenience|rent',unsure,much_cheaper,aware_considered,0.15,-0.85,4,4,5,7,1,1,0,0,not_buy
male,27-30,2,master,private,3-4,house,own,common,35001-50000,1200001-1500000,service_center,convenience,'convenience|own',unsure,slightly_cheaper,unknown,0.15,0.15,5,6,5,4,0,0,1,0,not_buy
male,27-30,1,bachelor,student,3-4,condo,own,common,lt15000,'1500000+',battery_life,convenience,'convenience|own',installable,similar,aware_considered,1,1,4,4,5,4,0,1,0,0,not_buy
female,51-60,0,bachelor,business_owner,3-4,condo,own,common,50001-75000,800001-1200000,service_center,convenience,'convenience|own',unsure,similar,aware_only,-0.3,0.0333333,4,4,5,3,0,0,0,1,not_buy
female,51-60,1,m6,freelance,1-2,condo,rent,common,50001-75000,800001-1200000,fuel_price,trade,'trade|rent',installable,similar,unknown,-0.3,-0.966667,5,3,5,6,1,0,0,0,not_buy
female,51-60,3,below_m3,trader,3-4,house,family,none,35001-50000,1200001-1500000,charging_station,convenience,'convenience|family',unsure,similar,aware_considered,0.15,-0.85,5,5,3,7,1,1,1,1,not_buy
female,51-60,1,m3,soe,3-4,townhome,rent,common,25001-35000,1200001-1500000,battery_life,avoid_public,'avoid_public|rent',unsure,similar,unknown,0.35,0.35,5,4,5,4,1,1,0,1,not_buy
female,51-60,2,bachelor,government,3-4,townhome,rent,private,25001-35000,'1500000+',fuel_price,convenience,'convenience|rent',cannot,unknown,aware_only,0.6,-0.4,6,5,6,7,0,0,1,0,not_buy
female,27-30,2,master,private,'5+',townhome,own,common,lt15000,1200001-1500000,charging_station,trade,'trade|own',installable,similar,unknown,0.75,0.0833333,3,4,3,6,1,0,0,0,buy
male,31-40,1,master,trader,3-4,condo,family,common,25001-35000,800001-1200000,service_center,trade,'trade|family',installable,unknown,unknown,0.1,0.1,5,5,6,4,0,0,1,0,not_buy
male,24-26,1,bachelor,student,1-2,house,rent,private,lt15000,500001-800000,service_center,convenience,'convenience|rent',installable,much_cheaper,aware_only,0.25,-0.0833333,5,4,3,5,0,0,0,1,not_buy
male,27-30,0,bachelor,soe,3-4,condo,rent,common,15001-25000,1200001-1500000,service_center,convenience,'convenience|rent',installable,similar,unknown,0.55,-0.116667,4,5,4,6,1,0,0,0,not_buy
female,51-60,2,below_m3,soe,3-4,condo,rent,common,15001-25000,800001-1200000,charging_station,convenience,'convenience|rent',installable,unknown,aware_considered,0.3,0.3,5,5,4,4,0,0,1,0,not_buy
female,51-60,2,master,trader,1-2,condo,own,private,25001-35000,1200001-1500000,battery_life,travel,'travel|own',installable,unknown,aware_considered,0.35,0.0166667,5,4,3,5,0,0,1,1,not_buy
male,27-30,2,master,trader,'5+',condo,own,private,25001-35000,lt500000,fuel_price,convenience,'convenience|own',installable,similar,aware_only,-0.4,-0.4,4,3,6,4,1,0,0,0,not_buy
male,31-40,1,vocational,freelance,3-4,townhome,rent,private,50001-75000,500001-800000,charging_station,avoid_public,'avoid_public|rent',cannot,similar,unknown,-0.55,-0.883333,3,4,4,5,0,1,0,0,not_buy
male,51-60,1,bachelor,trader,'5+',condo,own,common,25001-35000,'1500000+',battery_life,convenience,'convenience|own',installable,similar,aware_only,0.6,-0.0666667,4,5,4,6,0,0,0,0,not_buy
female,51-60,1,m6,government,3-4,condo,family,common,35001-50000,'1500000+',service_center,convenience,'convenience|family',installable,similar,unknown,0.4,0.4,6,6,6,4,1,0,0,0,not_buy
male,51-60,2,m6,freelance,3-4,house,own,private,25001-35000,500001-800000,maintenance,travel,'travel|own',installable,unknown,aware_only,-0.15,-0.483333,4,5,6,5,1,0,0,0,not_buy
male,31-40,3,bachelor,private,3-4,townhome,own,common,25001-35000,800001-1200000,service_center,convenience,'convenience|own',installable,much_cheaper,unknown,0.1,0.433333,3,4,4,3,0,1,0,0,not_buy
female,31-40,1,bachelor,private,3-4,condo,rent,common,15001-25000,800001-1200000,fuel_price,commute,'commute|rent',unsure,similar,aware_only,0.3,-0.366667,5,4,3,6,0,0,0,1,not_buy
male,'60+',2,m3,trader,'5+',house,rent,common,25001-35000,lt500000,fuel_price,convenience,'convenience|rent',installable,unknown,unknown,-0.4,-0.0666667,3,4,6,3,1,0,0,0,not_buy
male,31-40,2,vocational,freelance,3-4,townhome,own,private,lt15000,500001-800000,charging_station,convenience,'convenience|own',unsure,slightly_cheaper,unknown,0.25,-0.0833333,5,4,6,5,0,0,1,0,not_buy
female,51-60,2,bachelor,government,3-4,townhome,rent,common,25001-35000,800001-1200000,service_center,convenience,'convenience|rent',installable,similar,aware_only,0.1,-0.233333,5,4,6,5,1,0,0,0,not_buy
male,24-26,'3+',bachelor,private,3-4,townhome,own,common,15001-25000,500001-800000,service_center,travel,'travel|own',unsure,slightly_cheaper,unknown,0.05,0.383333,5,4,6,3,0,0,0,1,buy
female,'60+',1,bachelor,government,3-4,townhome,own,private,15001-25000,'1500000+',fuel_price,convenience,'convenience|own',installable,similar,unknown,0.8,-0.2,6,5,5,7,0,1,1,0,not_buy
male,'60+',1,bachelor,trader,'5+',townhome,own,private,50001-75000,lt500000,service_center,commute,'commute|own',unsure,similar,unknown,-0.8,-0.466667,5,4,6,3,1,0,0,0,not_buy
male,51-60,0,vocational,government,3-4,townhome,own,common,15001-25000,800001-1200000,service_center,trade,'trade|own',cannot,similar,unknown,0.3,-0.7,4,4,5,7,0,0,0,0,buy
male,51-60,1,m3,government,3-4,townhome,own,private,35001-50000,500001-800000,service_center,avoid_public,'avoid_public|own',unsure,much_cheaper,unknown,-0.35,-1.35,4,5,5,7,1,0,0,0,not_buy
female,51-60,2,bachelor,business_owner,3-4,house,family,private,15001-25000,800001-1200000,battery_life,travel,'travel|family',installable,much_cheaper,unknown,0.3,-0.0333333,5,5,5,5,0,1,0,1,not_buy
male,27-30,1,bachelor,private,3-4,house,family,private,35001-50000,1200001-1500000,fuel_price,commute,'commute|family',cannot,similar,unknown,0.15,-0.516667,5,5,4,6,1,1,0,0,not_buy
female,41-50,2,m6,government,3-4,townhome,rent,common,35001-50000,800001-1200000,fuel_price,trade,'trade|rent',installable,similar,unknown,-0.1,-0.1,3,4,5,4,0,0,1,0,not_buy
female,24-26,2,vocational,trader,3-4,townhome,family,common,25001-35000,1200001-1500000,fuel_price,avoid_public,'avoid_public|family',unsure,similar,unknown,0.35,0.683333,5,4,4,3,1,0,1,0,not_buy
female,51-60,'3+',m6,soe,1-2,townhome,own,private,'75000+',800001-1200000,service_center,trade,'trade|own',unsure,similar,unknown,-0.5,-1.5,4,4,5,7,0,1,0,0,not_buy
male,24-26,3,master,private,3-4,condo,own,common,25001-35000,1200001-1500000,fuel_price,avoid_public,'avoid_public|own',unsure,much_cheaper,unknown,0.35,-0.65,5,6,5,7,1,0,1,0,not_buy
male,24-26,2,bachelor,trader,3-4,house,rent,private,15001-25000,500001-800000,fuel_price,trade,'trade|rent',installable,similar,unknown,0.05,-0.616667,5,6,4,6,1,0,0,0,not_buy
male,20-23,2,bachelor,private,3-4,townhome,own,common,35001-50000,1200001-1500000,maintenance,commute,'commute|own',installable,unknown,unknown,0.15,-0.183333,5,5,5,5,1,0,0,0,not_buy
female,31-40,2,bachelor,trader,'5+',townhome,own,common,35001-50000,1200001-1500000,maintenance,convenience,'convenience|own',installable,much_cheaper,unknown,0.15,-0.516667,3,4,6,6,1,0,0,0,not_buy
male,31-40,2,master,private,'5+',townhome,rent,common,35001-50000,lt500000,maintenance,convenience,'convenience|rent',unsure,similar,aware_considered,-0.6,-0.933333,6,4,5,5,1,1,1,0,not_buy
female,41-50,2,bachelor,business_owner,3-4,condo,rent,private,35001-50000,800001-1200000,service_center,convenience,'convenience|rent',unsure,similar,unknown,-0.1,-0.766667,3,5,5,6,1,0,0,0,not_buy
female,41-50,'3+',m6,government,1-2,condo,rent,common,50001-75000,'1500000+',service_center,avoid_public,'avoid_public|rent',installable,similar,aware_only,0.2,0.2,5,4,4,4,1,0,0,0,not_buy
female,31-40,1,bachelor,soe,'5+',townhome,family,common,50001-75000,500001-800000,service_center,convenience,'convenience|family',cannot,unknown,unknown,-0.55,-0.55,5,6,6,4,1,0,0,0,not_buy
female,51-60,2,vocational,trader,3-4,townhome,rent,common,15001-25000,lt500000,service_center,commute,'commute|rent',installable,similar,aware_only,-0.2,-0.533333,6,5,3,5,1,0,0,0,not_buy
female,27-30,2,bachelor,private,'5+',condo,own,common,25001-35000,lt500000,maintenance,convenience,'convenience|own',installable,similar,unknown,-0.4,-0.4,5,4,4,4,1,0,0,0,not_buy
female,24-26,1,bachelor,private,3-4,townhome,own,common,25001-35000,800001-1200000,fuel_price,travel,'travel|own',installable,unknown,aware_considered,0.1,0.433333,5,4,5,3,0,0,1,0,not_buy
female,27-30,2,phd,private,3-4,townhome,own,private,25001-35000,800001-1200000,battery_life,avoid_public,'avoid_public|own',installable,much_cheaper,aware_considered,0.1,-0.233333,3,4,5,5,0,1,0,0,not_buy
female,27-30,0,bachelor,private,3-4,condo,own,common,'75000+','1500000+',service_center,commute,'commute|own',cannot,much_cheaper,unknown,0,-1,4,3,3,7,1,0,0,0,not_buy
female,27-30,2,master,private,3-4,house,own,common,35001-50000,1200001-1500000,service_center,convenience,'convenience|own',unsure,similar,unknown,0.15,0.15,5,5,5,4,0,0,1,0,not_buy
female,31-40,2,bachelor,business_owner,'5+',townhome,own,common,50001-75000,800001-1200000,service_center,convenience,'convenience|own',unsure,unknown,unknown,-0.3,-1.3,3,5,3,7,1,0,0,0,not_buy
female,31-40,1,bachelor,freelance,3-4,house,own,none,lt15000,800001-1200000,charging_station,convenience,'convenience|own',unsure,unknown,aware_only,0.5,0.833333,4,6,3,3,1,0,0,0,not_buy
female,31-40,2,bachelor,freelance,3-4,townhome,family,private,lt15000,1200001-1500000,service_center,convenience,'convenience|family',installable,much_cheaper,unknown,0.75,0.416667,4,4,5,5,1,0,0,0,not_buy
male,51-60,2,m6,freelance,3-4,condo,own,none,35001-50000,'1500000+',service_center,trade,'trade|own',installable,much_cheaper,unknown,0.4,0.4,4,4,5,4,0,0,0,1,not_buy
male,31-40,2,master,private,3-4,townhome,family,none,35001-50000,800001-1200000,charging_station,trade,'trade|family',installable,similar,unknown,-0.1,-0.433333,6,5,6,5,1,0,1,0,buy
male,'60+',2,m6,government,'5+',townhome,own,common,15001-25000,800001-1200000,fuel_price,travel,'travel|own',cannot,similar,unknown,0.3,-0.0333333,5,6,6,5,1,0,0,0,not_buy
female,31-40,2,bachelor,soe,'5+',townhome,rent,none,15001-25000,'1500000+',service_center,avoid_public,'avoid_public|rent',installable,much_cheaper,unknown,0.8,0.8,4,4,6,4,0,1,1,0,not_buy
female,31-40,0,bachelor,trader,3-4,townhome,rent,private,15001-25000,800001-1200000,service_center,trade,'trade|rent',installable,much_cheaper,unknown,0.3,0.3,4,4,4,4,0,0,1,0,not_buy
female,24-26,2,bachelor,student,3-4,townhome,own,common,25001-35000,1200001-1500000,electricity_cost,convenience,'convenience|own',installable,unknown,aware_only,0.35,1.01667,3,3,3,2,0,0,1,1,not_buy
male,31-40,1,master,private,3-4,townhome,own,none,50001-75000,500001-800000,charging_station,trade,'trade|own',installable,similar,unknown,-0.55,-0.216667,5,4,4,3,0,0,0,1,not_buy
male,51-60,2,bachelor,private,3-4,house,family,private,25001-35000,800001-1200000,charging_station,travel,'travel|family',unsure,similar,aware_only,0.1,-0.566667,6,4,3,6,0,1,0,0,not_buy
female,'60+',1,m6,trader,3-4,house,rent,common,25001-35000,lt500000,service_center,travel,'travel|rent',cannot,similar,aware_considered,-0.4,-0.0666667,5,6,5,3,0,0,0,0,not_buy
female,20-23,0,bachelor,student,'5+',condo,own,private,lt15000,lt500000,service_center,travel,'travel|own',cannot,similar,aware_only,0,0,3,4,4,4,0,0,0,1,buy
male,20-23,'3+',bachelor,freelance,'5+',house,own,private,15001-25000,800001-1200000,service_center,travel,'travel|own',unsure,unknown,aware_only,0.3,-0.0333333,3,4,3,5,0,0,0,0,not_buy
female,20-23,1,vocational,student,3-4,townhome,own,private,25001-35000,800001-1200000,service_center,avoid_public,'avoid_public|own',cannot,similar,unknown,0.1,0.1,5,4,4,4,0,0,0,0,buy
male,31-40,1,bachelor,private,'5+',house,rent,private,35001-50000,500001-800000,charging_station,avoid_public,'avoid_public|rent',installable,slightly_cheaper,aware_considered,-0.35,-1.01667,6,4,4,6,0,0,0,0,buy
female,24-26,3,master,business_owner,3-4,townhome,own,private,lt15000,500001-800000,service_center,commute,'commute|own',installable,much_cheaper,aware_only,0.25,-0.416667,4,5,4,6,0,0,0,0,not_buy
female,'60+',0,m6,trader,3-4,house,rent,private,25001-35000,500001-800000,service_center,convenience,'convenience|rent',installable,unknown,aware_considered,-0.15,0.183333,6,5,5,3,0,0,0,0,buy
male,24-26,1,master,private,'5+',condo,rent,private,25001-35000,500001-800000,fuel_price,travel,'travel|rent',installable,slightly_cheaper,unknown,-0.15,-0.483333,5,3,4,5,1,0,0,0,buy
female,20-23,1,master,student,'5+',condo,own,private,15001-25000,500001-800000,service_center,commute,'commute|own',installable,similar,aware_considered,0.05,0.05,3,4,5,4,0,1,0,0,buy
male,51-60,0,bachelor,trader,'5+',condo,family,private,35001-50000,500001-800000,maintenance,avoid_public,'avoid_public|family',installable,unknown,aware_only,-0.35,-0.683333,5,5,5,5,0,1,0,0,not_buy
female,'60+',0,m3,trader,3-4,house,rent,common,15001-25000,800001-1200000,fuel_price,avoid_public,'avoid_public|rent',installable,similar,aware_only,0.3,-0.0333333,4,5,4,5,1,0,0,1,buy
male,20-23,1,bachelor,student,3-4,house,rent,private,15001-25000,lt500000,battery_life,avoid_public,'avoid_public|rent',cannot,similar,aware_considered,-0.2,-0.2,4,6,5,4,0,0,0,1,buy
female,24-26,0,phd,private,3-4,house,rent,private,lt15000,500001-800000,service_center,travel,'travel|rent',cannot,slightly_cheaper,aware_considered,0.25,1.25,3,4,6,1,0,0,0,1,not_buy
female,'60+',0,bachelor,trader,'5+',house,own,private,15001-25000,lt500000,fuel_price,commute,'commute|own',cannot,slightly_cheaper,aware_only,-0.2,-0.866667,4,3,4,6,0,0,0,1,buy
male,31-40,'3+',bachelor,private,'5+',condo,rent,private,15001-25000,500001-800000,service_center,avoid_public,'avoid_public|rent',cannot,slightly_cheaper,aware_only,0.05,0.383333,4,5,5,3,0,0,0,1,buy
female,24-26,3,bachelor,student,'5+',house,own,common,25001-35000,lt500000,service_center,avoid_public,'avoid_public|own',cannot,similar,aware_considered,-0.4,-0.4,3,5,5,4,0,0,0,0,buy
male,20-23,0,bachelor,student,'5+',house,own,private,lt15000,500001-800000,service_center,commute,'commute|own',installable,much_cheaper,aware_considered,0.25,-0.75,3,5,3,7,0,0,0,1,buy
male,31-40,0,vocational,trader,'5+',house,own,private,35001-50000,800001-1200000,fuel_price,commute,'commute|own',installable,much_cheaper,aware_considered,-0.1,-0.1,4,6,6,4,0,0,0,0,buy
male,31-40,2,bachelor,private,3-4,house,rent,private,15001-25000,lt500000,service_center,commute,'commute|rent',cannot,slightly_cheaper,aware_considered,-0.2,-0.866667,4,4,3,6,0,0,0,0,buy
female,'60+',0,bachelor,business_owner,3-4,house,family,private,35001-50000,800001-1200000,service_center,avoid_public,'avoid_public|family',cannot,similar,aware_only,-0.1,0.233333,5,6,5,3,0,0,0,1,buy
male,20-23,1,vocational,student,3-4,condo,rent,private,25001-35000,800001-1200000,resale_value,avoid_public,'avoid_public|rent',unsure,slightly_cheaper,aware_considered,0.1,-0.233333,6,3,3,5,0,0,1,0,buy
female,51-60,2,m6,private,3-4,house,family,private,25001-35000,lt500000,fuel_price,avoid_public,'avoid_public|family',cannot,similar,aware_only,-0.4,-0.4,5,4,5,4,0,0,0,0,buy
female,20-23,0,vocational,freelance,1-2,house,own,private,35001-50000,800001-1200000,fuel_price,travel,'travel|own',installable,much_cheaper,aware_considered,-0.1,-1.1,4,5,5,7,0,0,0,0,buy
female,'60+',1,m3,freelance,'5+',condo,family,private,15001-25000,500001-800000,service_center,avoid_public,'avoid_public|family',cannot,much_cheaper,unknown,0.05,-0.616667,4,4,3,6,0,0,0,0,not_buy
male,'60+',0,m3,business_owner,'5+',house,rent,private,35001-50000,500001-800000,service_center,convenience,'convenience|rent',cannot,similar,aware_only,-0.35,-1.01667,4,3,6,6,0,0,0,0,buy
male,41-50,2,bachelor,private,'5+',house,own,private,15001-25000,500001-800000,service_center,avoid_public,'avoid_public|own',cannot,similar,aware_only,0.05,0.383333,6,5,5,3,0,0,0,0,buy
male,20-23,1,bachelor,private,'5+',house,rent,private,'75000+',500001-800000,service_center,avoid_public,'avoid_public|rent',has,unknown,aware_considered,-0.75,-1.41667,4,3,5,6,0,0,0,0,buy
female,51-60,2,vocational,private,3-4,house,rent,private,'75000+',1200001-1500000,service_center,convenience,'convenience|rent',cannot,slightly_cheaper,aware_only,-0.25,0.416667,4,3,3,2,0,0,0,1,not_buy
female,24-26,2,bachelor,trader,3-4,house,own,private,lt15000,800001-1200000,service_center,avoid_public,'avoid_public|own',installable,much_cheaper,unknown,0.5,0.166667,6,5,4,5,1,0,0,1,buy
male,20-23,1,bachelor,student,3-4,house,own,private,25001-35000,1200001-1500000,service_center,travel,'travel|own',cannot,unknown,aware_only,0.35,-0.316667,6,4,3,6,0,0,0,0,buy
male,20-23,1,bachelor,freelance,'5+',house,rent,private,35001-50000,500001-800000,electricity_cost,travel,'travel|rent',cannot,similar,aware_only,-0.35,0.65,5,5,3,1,0,0,0,1,buy
female,31-40,1,master,government,'5+',house,rent,private,15001-25000,800001-1200000,charging_station,convenience,'convenience|rent',cannot,similar,unknown,0.3,-0.0333333,4,3,6,5,0,0,0,0,buy
